DATE,BRKA
1990-01-02,-0.0057636887608069065
1990-01-03,0.0
1990-01-04,0.005797101449275255
1990-01-05,-0.0057636887608069065
1990-01-08,0.0
1990-01-09,-0.008115942028985468
1990-01-10,-0.021040327293980088
1990-01-11,0.0
1990-01-12,-0.020895522388059695
1990-01-15,-0.024390243902439046
1990-01-16,0.018750000000000044
1990-01-17,0.006134969325153339
1990-01-18,-0.009146341463414642
1990-01-19,0.006153846153846176
1990-01-22,-0.030581039755351647
1990-01-23,0.006309148264984188
1990-01-24,-0.009404388714733591
1990-01-25,-0.009493670886076
1990-01-26,-0.04792332268370603
1990-01-29,-0.02281879194630876
1990-01-30,-0.004120879120879106
1990-01-31,0.028275862068965596
1990-02-01,0.016096579476861272
1990-02-02,0.00990099009900991
1990-02-05,-0.016339869281045805
1990-02-06,0.0
1990-02-07,0.039867109634551534
1990-02-08,0.0006389776357826893
1990-02-09,0.015325670498084198
1990-02-12,-0.09182389937106916
1990-02-13,0.024930747922437657
1990-02-14,0.0033783783783782884
1990-02-15,0.012794612794612803
1990-02-16,0.007313829787233939
1990-02-20,-0.03300330033003296
1990-02-21,0.0034129692832765013
1990-02-22,-0.003401360544217691
1990-02-23,-0.027303754266211566
1990-02-26,0.0035087719298245723
1990-02-27,0.010489510489510412
1990-02-28,0.0
1990-03-01,0.01038062283737018
1990-03-02,-0.003424657534246589
1990-03-05,-0.0034364261168384758
1990-03-06,0.0
1990-03-07,0.024137931034482696
1990-03-08,0.0033670033670034627
1990-03-09,-0.006711409395973145
1990-03-12,-0.016891891891891886
1990-03-13,-0.01718213058419249
1990-03-14,-0.004195804195804231
1990-03-15,-0.013342696629213502
1990-03-16,0.014234875444839812
1990-03-19,0.0035087719298245723
1990-03-20,0.0
1990-03-21,-0.0034965034965035446
1990-03-22,-0.01403508771929829
1990-03-23,0.01067615658362997
1990-03-26,0.0035211267605634866
1990-03-27,0.0035087719298245723
1990-03-28,-0.01958041958041956
1990-03-29,-0.015691868758915817
1990-03-30,-0.025362318840579712
1990-04-02,-0.0037174721189591198
1990-04-03,0.018656716417910557
1990-04-04,0.00146520146520146
1990-04-05,0.002194586686174116
1990-04-06,-0.0036496350364964014
1990-04-09,0.0073260073260073
1990-04-10,0.0072727272727273196
1990-04-11,-0.0036101083032491488
1990-04-12,0.010869565217391353
1990-04-16,0.0
1990-04-17,-0.0021505376344086446
1990-04-18,-0.02298850574712641
1990-04-19,0.0
1990-04-20,0.0007352941176470562
1990-04-23,-0.02645113886847905
1990-04-24,-0.0007547169811320531
1990-04-25,0.012084592145015005
1990-04-26,-0.007462686567164201
