Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,290.000000,310.000000,290.000000,290.000000,290.000000,10000
1980-03-18,290.000000,290.000000,290.000000,290.000000,290.000000,0
1980-03-19,290.000000,310.000000,290.000000,290.000000,290.000000,20000
1980-03-20,290.000000,290.000000,290.000000,290.000000,290.000000,0
1980-03-21,290.000000,290.000000,290.000000,290.000000,290.000000,0
1980-03-24,290.000000,290.000000,270.000000,270.000000,270.000000,10000
1980-03-25,270.000000,270.000000,270.000000,270.000000,270.000000,0
1980-03-26,270.000000,270.000000,270.000000,270.000000,270.000000,0
1980-03-27,270.000000,270.000000,270.000000,270.000000,270.000000,0
1980-03-28,270.000000,270.000000,270.000000,270.000000,270.000000,0
1980-03-31,270.000000,280.000000,260.000000,260.000000,260.000000,10000
1980-04-01,260.000000,280.000000,260.000000,260.000000,260.000000,30000
1980-04-02,260.000000,260.000000,260.000000,260.000000,260.000000,0
1980-04-03,260.000000,280.000000,260.000000,260.000000,260.000000,10000
1980-04-07,265.000000,285.000000,265.000000,265.000000,265.000000,10000
1980-04-08,265.000000,285.000000,265.000000,265.000000,265.000000,10000
1980-04-09,265.000000,285.000000,265.000000,265.000000,265.000000,10000
1980-04-10,265.000000,280.000000,260.000000,260.000000,260.000000,90000
1980-04-11,260.000000,260.000000,260.000000,260.000000,260.000000,0
1980-04-14,260.000000,275.000000,255.000000,255.000000,255.000000,20000
1980-04-15,255.000000,265.000000,245.000000,245.000000,245.000000,20000
1980-04-16,245.000000,245.000000,245.000000,245.000000,245.000000,0
1980-04-17,255.000000,275.000000,255.000000,255.000000,255.000000,10000
1980-04-18,255.000000,275.000000,255.000000,255.000000,255.000000,20000
1980-04-21,260.000000,280.000000,260.000000,260.000000,260.000000,20000
1980-04-22,260.000000,260.000000,260.000000,260.000000,260.000000,0
1980-04-23,275.000000,295.000000,275.000000,275.000000,275.000000,20000
1980-04-24,275.000000,295.000000,275.000000,275.000000,275.000000,10000
1980-04-25,275.000000,275.000000,275.000000,275.000000,275.000000,0
1980-04-28,275.000000,275.000000,275.000000,275.000000,275.000000,0
1980-04-29,275.000000,275.000000,275.000000,275.000000,275.000000,0
1980-04-30,275.000000,275.000000,275.000000,275.000000,275.000000,0
1980-05-01,275.000000,275.000000,275.000000,275.000000,275.000000,0
1980-05-02,275.000000,275.000000,275.000000,275.000000,275.000000,0
1980-05-05,285.000000,305.000000,285.000000,285.000000,285.000000,20000
