"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,54.84856098,55.25621951,55.67187805,56.10756098,56.56973171,57.05843902,57.57065854,58.09136585,58.60709756,59.11234146,59.60009756,60.06536585,60.50912195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,74.27207317,74.73421951,75.15795122,75.52936585,75.839,76.08939024,76.29053659,76.46485366,76.63231707,76.80187805,76.9785122,77.16321951,77.35046341
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,68.93019512,69.12043902,69.30526829,69.4862439,69.66387805,69.83860976,70.00836585,70.17104878,70.32707317,70.47492683,70.61660976,70.75168293,70.88217073
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,45.20478049,45.97314634,46.71173171,47.39317073,48.0035122,48.53880488,49.00704878,49.43573171,49.84739024,50.25102439,50.65417073,51.05931707,51.464
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,73.39729268,73.60607317,73.81339024,74.01921951,74.22204878,74.42185366,74.61609756,74.80478049,74.98687805,75.16241463,75.33390244,75.50036585,75.66531707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,73.74565854,73.95368293,74.15878049,74.35995122,74.55773171,74.75165854,74.94121951,75.12690244,75.30819512,75.48709756,75.66356098,75.83860976,76.01268293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,71.27653659,71.75565854,72.2022439,72.61097561,72.97492683,73.28856098,73.54982927,73.76463415,73.94387805,74.09304878,74.21965854,74.33219512,74.43721951
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,73.72060976,73.78290244,73.8652439,73.96856098,74.09085366,74.22807317,74.37570732,74.5262439,74.67421951,74.81614634,74.95202439,75.08039024,75.2067561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,78.12682927,78.57560976,78.67804878,78.63170732,79.1804878,79.33170732,79.8804878,80.1804878,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,66.7582439,67.15029268,67.56107317,68.00368293,68.47019512,68.93726829,69.37473171,69.756,70.06292683,70.29265854,70.45029268,70.55129268,70.62495122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,72.25429268,72.54509756,72.84126829,73.12729268,73.39465854,73.63887805,73.85895122,74.05946341,74.24743902,74.42390244,74.59239024,74.75490244,74.91446341
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,74.5892439,74.77670732,74.96021951,75.1407561,75.31880488,75.49231707,75.66073171,75.823,75.97660976,76.12404878,76.26485366,76.40204878,76.53619512
